Name,Highway,Exit,City,State
PETRO STOPPING CENTER #396 - WHITE'S,I-64/81,205,RAPHINE,VA
PIEDMONT FLEET SERVICES,US 501,11,LYNCHBURG,VA
PILOT TRAVEL CENTER #1049,US 58,,SUFFOLK,VA
PILOT TRAVEL CENTER #159,I-64,211,PROVIDENCE FORGE,VA
PILOT TRAVEL CENTER #256,US 29,US 58,DANVILLE,VA
PILOT TRAVEL CENTER #258,I-81,150-A / 150-B,TROUTVILLE,VA
PILOT TRAVEL CENTER #384,I-95,58,COLONIAL HEIGHTS,VA
PILOT TRAVEL CENTER #396,I-81,213-A SB/213 NB,STAUNTON,VA
PILOT TRAVEL CENTER #4619,I-77/81,77,WYTHEVILLE,VA
PILOT TRAVEL CENTER #4622,US 58,COMMERCE LANE,SOUTH BOSTON,VA
PILOT TRAVEL CENTER #4642,I-81,291,TOMS BROOK,VA
PILOT TRAVEL CENTER #4649,I-81/64,205,RAPHINE,VA
PILOT TRAVEL CENTER #4651,I-95,4,SKIPPERS,VA
PILOT TRAVEL CENTER #4656,I-295,3-A,DISPUTANTA,VA
PILOT TRAVEL CENTER #491,I-81,251,HARRISONBURG,VA
PILOT TRAVEL CENTER - MR. FUEL #2,I-95,104,RUTHER GLEN,VA
PILOT TRAVEL CENTER - SADLER'S,I-95,11,EMPORIA,VA
PILOT TRAVEL CENTER - SLIP-IN,I-85,12,SOUTH HILL,VA
RADFORD TRAVEL CENTER,I-81,109,CHRISTIANSBURG,VA
RIDGEVIEW MART,US 29,,EVINGTON,VA
ROUTE 15 VALERO,US 15,,LEESBURG,VA
ROYAL FARMS #79,US 13,,NEW CHURCH,VA
SAV-U-TIME,US 360,,KEYSVILLE,VA
SHEETZ TRAVEL CENTER,I-81,273,MOUNT JACKSON,VA
SHORE STOP,US 13,,CAPE CHARLES,VA
SIMMONS TRAVEL CENTER,I-85,4,BRACEY,VA
SIMMONS TRAVEL PLAZA,I-95,8,EMPORIA,VA
SLIP-IN FOOD MART,US 58,,BRODNAX,VA
SMILEY'S TRAVE CENTER,I-64/81,205,RAPHINE,VA
SPEEDWAY,US 13,,SUFFOLK,VA
SPEEDWAY,US 58,,SUFFOLK,VA
SPEEDWAY,US 220,,BASSETT FORKS,VA
SPEEDWAY,US 250,,WAYNESBORO,VA
SPEEDWAY,US 460,,ROANOKE,VA
SPEEDWAY,US 460,,BLACKSBURG,VA
SPEEDWAY #4630,BUS 220,,RIDGEWAY,VA
SPEEDWAY #4632,US 58,,DANVILLE,VA
SPEEDWAY #4638,BUS 29,,MADISON HEIGHTS,VA
SPEEDWAY #4655,VA 20,,ORANGE,VA
STAR EXPRESS TRAVEL CENTER,I-95,45,PETERSBURG,VA
STATELINE FOOD MART,US 23,,POUND,VA
STOP IN FOOD,US 15,,CULPEPER,VA
STOP IN FOOD STORE,I-81,101,DUBLIN,VA
STOP IN FOOD STORE,I-81,128,ELLISTON,VA
STOP IN FOOD STORE,US 460,,MONTVALE,VA
THRIFT MART,I-85,63-A,PETERSBURG,VA
TO GO BP,US 60,,QUINTON,VA
TRAVEL CENTERS OF AMERICA #001,I-95,92,ASHLAND,VA
TRAVEL CENTERS OF AMERICA #142,I-95,89,ASHLAND,VA
TRAVEL CENTERS OF AMERICA #143,I-77,41,WYTHEVILLE,VA
TRAVEL CENTERS OF AMERICA #202,I-81/64,195,LEXINGTON,VA
US 1 GROCERY,US 1,US 58,SOUTH HILL,VA
US GAS,I-95,41,PETERSBURG,VA
VILLAGE TRUCK STOP,I-81,54,ATKINS,VA
WOCO EXPRESS TRAVEL PLAZA,US 460,,IVOR,VA
