State,Longitude,Latitude,EV Level1 EVSE Num
VA,-80.697297,36.665615,2.0
VA,-80.373918,36.79849,1.0
VA,-75.997863,36.804863,2.0
VA,-81.004196,36.933124,2.0
VA,-77.352948,37.175139,4.0
VA,-76.710786,37.362569,5.0
VA,-79.144449,37.416987,2.0
VA,-76.389633,37.726251,2.0
VA,-76.2512256772461,37.88372527108362,1.0
VA,-78.840875,38.014996,2.0
VA,-78.087891,38.022101,2.0
VA,-77.033055,38.326011,2.0
VA,-78.754751,38.404061,4.0
VA,-77.120044,38.845816,2.0
VA,-77.085945,38.890091,1.0
VA,-77.069977,38.89458,4.0
VA,-77.069702,38.895272,4.0
VA,-77.832439,39.110609,1.0
