State,Longitude,Latitude,EV Level2 EVSE Num
VA,-78.93092,36.607679,2.0
VA,-79.860071,36.629501,1.0
VA,-81.7869047829542,36.6349186263446,2.0
VA,-76.9433198061901,36.6704937850699,1.0
VA,-80.355422,36.687822,1.0
VA,-78.902714,36.699141,2.0
VA,-81.971348,36.703331,2.0
VA,-77.541842,36.704893,1.0
VA,-81.975349,36.709522,1.0
VA,-76.305544,36.716059,2.0
VA,-76.305569,36.71612,2.0
VA,-76.585905,36.75832,1.0
VA,-76.072211,36.761348,4.0
VA,-76.4473544745407,36.7778985561238,2.0
VA,-76.369096,36.784827,1.0
VA,-76.216407,36.787583,2.0
VA,-76.235495,36.797184,2.0
VA,-76.199845,36.798797,2.0
VA,-76.233816,36.798927,1.0
VA,-76.190285,36.802986,2.0
VA,-76.407141241111,36.823940560551,2.0
VA,-76.066464,36.827518,1.0
VA,-76.301819,36.835007,2.0
VA,-76.302322,36.838165,1.0
VA,-76.302322,36.838165,1.0
VA,-75.972681,36.838263,2.0
VA,-76.102433,36.838989,2.0
VA,-75.972698,36.84135,4.0
VA,-76.066931,36.841628,3.0
VA,-76.077243,36.842819,2.0
VA,-76.0704059448123,36.8430110773116,1.0
VA,-76.0708333465108,36.8434979878882,2.0
VA,-81.503731,36.843713,1.0
VA,-76.133397,36.843811,3.0
VA,-76.150911,36.844073,2.0
VA,-76.083156,36.844415,2.0
VA,-76.1667139446524,36.8449987300323,4.0
VA,-76.291047,36.845253,5.0
VA,-75.983011,36.845573,2.0
VA,-75.983011,36.845573,2.0
VA,-76.2898,36.846255,2.0
VA,-76.289913,36.846263,2.0
VA,-76.289108,36.846272,6.0
VA,-76.292068,36.846527,5.0
VA,-76.292642,36.846713,5.0
VA,-76.035907,36.84774,2.0
VA,-76.035907,36.84774,2.0
VA,-76.28778,36.848217,8.0
VA,-76.027431,36.849143,3.0
VA,-75.978019,36.849149,2.0
VA,-76.027886,36.850535,2.0
VA,-76.290614,36.851354,5.0
VA,-76.28791,36.851851,6.0
VA,-75.979755,36.852661,2.0
VA,-75.97835,36.852662,2.0
VA,-76.291046,36.853363,5.0
VA,-75.97687,36.855879,3.0
VA,-76.304837,36.856308,1.0
VA,-76.304328,36.856697,2.0
VA,-76.299592,36.860566,1.0
VA,-76.3013269780446,36.8606425758415,2.0
VA,-76.41758,36.864845,3.0
VA,-76.2106,36.86564,1.0
VA,-76.4230658140912,36.8659633908256,2.0
VA,-75.983505,36.869203,4.0
VA,-75.981026,36.869875,1.0
VA,-76.419284,36.875702,2.0
VA,-76.419293,36.875702,2.0
VA,-76.200728,36.87581,1.0
VA,-76.200709,36.875821,1.0
VA,-76.200585,36.875928,1.0
VA,-76.209748,36.877974,2.0
VA,-76.20975,36.878012,2.0
VA,-76.353119,36.881817,2.0
VA,-76.3531,36.88182,2.0
VA,-76.35318,36.88182,2.0
VA,-76.353131,36.88182,2.0
VA,-76.353124,36.881826,2.0
VA,-76.353199,36.881832,2.0
VA,-76.199359,36.882116,2.0
VA,-76.354546,36.882276,2.0
VA,-76.206422,36.899599,2.0
VA,-76.206656,36.899734,2.0
VA,-76.123042,36.904511,3.0
VA,-76.071835,36.904634,2.0
VA,-76.209635,36.904917,2.0
VA,-76.065981,36.906214,4.0
VA,-80.318421,36.910204,1.0
VA,-80.31736,36.910575,1.0
VA,-76.0799365,36.9109468,2.0
VA,-76.074183,36.911176,4.0
VA,-76.235477,36.912437,2.0
VA,-76.068129,36.91287,2.0
VA,-76.247688,36.914555,1.0
VA,-76.247688,36.914555,2.0
VA,-76.055714,36.916519,3.0
VA,-81.066941,36.949705,1.0
VA,-77.764097247728,36.952715609806,1.0
VA,-77.393329,36.975097,3.0
VA,-76.622701,36.98247,4.0
VA,-79.889374,36.999825,1.0
VA,-76.3235373,37.0177916,2.0
VA,-76.384783,37.041065,2.0
VA,-76.388316,37.042363,2.0
VA,-76.37963,37.044352,2.0
VA,-76.380595,37.044549,2.0
VA,-76.394374,37.044751,24.0
VA,-76.4936074,37.0642505,1.0
VA,-78.000778,37.073889,2.0
VA,-76.474858,37.075503,2.0
VA,-76.455474,37.081574,1.0
VA,-76.4729336,37.0853249,2.0
VA,-76.4710503,37.0862236,2.0
VA,-76.475128,37.087066,2.0
VA,-76.45919,37.09369,5.0
VA,-76.48968,37.096478,1.0
VA,-80.51607,37.102128,2.0
VA,-80.516065,37.10216,2.0
VA,-76.489655,37.102615,2.0
VA,-76.445837,37.113565,2.0
VA,-80.531395,37.119746,2.0
VA,-76.5118112,37.1257756,1.0
VA,-80.3934729953139,37.1307863464426,2.0
VA,-79.284575,37.131291,4.0
VA,-79.284575,37.131291,4.0
