State,Longitude,Latitude,EV DC Fast Count
VA,-78.193932,38.916118,1.0
VA,-77.220581,38.916939,4.0
VA,-77.4982189,38.9194482,4.0
VA,-77.236743,38.921778,4.0
VA,-77.20139,38.922475,4.0
VA,-77.240836,38.927033,1.0
VA,-77.245534,38.930184,4.0
VA,-77.522058,38.935027,4.0
VA,-77.339832,38.948668,8.0
VA,-77.41004,38.95025,4.0
VA,-77.358475,38.950829,3.0
VA,-77.368991,38.955241,4.0
VA,-77.378558,38.957299,3.0
VA,-77.41192,38.97786,8.0
VA,-77.425894,38.97793,4.0
VA,-78.337848,39.00496,6.0
VA,-77.501811,39.008411,8.0
VA,-77.438399,39.010459,1.0
VA,-77.459996,39.013872,2.0
VA,-77.422159,39.0329,2.0
VA,-77.475057,39.044952,2.0
VA,-78.217188,39.082164,4.0
VA,-77.526543,39.089761,10.0
VA,-77.538666,39.108181,2.0
VA,-77.538376,39.109136,4.0
VA,-78.147297,39.156514,1.0
VA,-78.125967,39.18711,8.0
VA,-78.1257883,39.1881397,8.0
