Truck_Stop_Exit,Charger,distancetocharger,latitude,longitude,Truck Stop Address
310,"Sheetz 197 - Stephens City, VA",0.5583061515328948,39.089384,-78.21249545,"5116 MAIN ST,STEPHENS CITY,VA,22655"
205,White’s Travel Center - Petro Raphine,0.3437175559629203,37.9304638,-79.22314857,"2440 RAPHINE RD,RAPHINE,VA,24472"
205,White’s Travel Center - Petro Raphine,0.3318303820687584,37.93130465,-79.23165449,"713 OAKLAND CIRCLE,RAPHINE,VA,24472"
205,White’s Travel Center - Petro Raphine,0.5572427419393788,37.93114246,-79.21907008,"2489 RAPHINE RD,RAPHINE,VA,24472"
